pkgs,contents,urls
scales,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
janitor,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
rKenyaCensus,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
sf,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
ggthemes,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
knitr,2021_02_02_hbcu.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_02_hbcu.Rmd
tidyverse,2021_02_02_hbcu.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_02_hbcu.Rmd
tidytuesdayR,2021_02_02_hbcu.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_02_hbcu.Rmd
scales,2021_02_02_hbcu.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_02_hbcu.Rmd
readxl,2021_02_02_hbcu.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_02_hbcu.Rmd
knitr,2021_02_09_lifetime_earn.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_09_lifetime_earn.Rmd
tidyverse,2021_02_09_lifetime_earn.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_09_lifetime_earn.Rmd
tidytuesdayR,2021_02_09_lifetime_earn.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_09_lifetime_earn.Rmd
scales,2021_02_09_lifetime_earn.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_09_lifetime_earn.Rmd
plotly,2021_02_09_lifetime_earn.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_09_lifetime_earn.Rmd
knitr,2021_02_23_employment_earnings.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_23_employment_earnings.Rmd
tidyverse,2021_02_23_employment_earnings.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_23_employment_earnings.Rmd
tidytuesdayR,2021_02_23_employment_earnings.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_23_employment_earnings.Rmd
scales,2021_02_23_employment_earnings.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_23_employment_earnings.Rmd
glue,2021_02_23_employment_earnings.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_23_employment_earnings.Rmd
ggrepel,2021_02_23_employment_earnings.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_02_23_employment_earnings.Rmd
knitr,2021_03_02_super_bowl_ads.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_02_super_bowl_ads.Rmd
tidyverse,2021_03_02_super_bowl_ads.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_02_super_bowl_ads.Rmd
tidytuesdayR,2021_03_02_super_bowl_ads.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_02_super_bowl_ads.Rmd
scales,2021_03_02_super_bowl_ads.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_02_super_bowl_ads.Rmd
broom,2021_03_02_super_bowl_ads.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_02_super_bowl_ads.Rmd
tidytext,2021_03_02_super_bowl_ads.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_02_super_bowl_ads.Rmd
reshape2,2021_03_02_super_bowl_ads.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_02_super_bowl_ads.Rmd
knitr,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
tidyverse,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
tidytuesdayR,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
scales,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
ggrepel,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
tidytext,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
glmnet,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
broom,2021_03_09_bechdel_test.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_09_bechdel_test.Rmd
knitr,2021_03_16_video_games.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_16_video_games.Rmd
tidyverse,2021_03_16_video_games.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_16_video_games.Rmd
tidytuesdayR,2021_03_16_video_games.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_16_video_games.Rmd
scales,2021_03_16_video_games.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_16_video_games.Rmd
lubridate,2021_03_16_video_games.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_16_video_games.Rmd
plotly,2021_03_16_video_games.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_16_video_games.Rmd
knitr,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
tidyverse,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
tidytuesdayR,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
scales,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
lubridate,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
ggthemes,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
