pkgs,contents,urls
silgelib,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
blogdown,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
tidymodels,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
doParallel,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
vip,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
parttree,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
knitr,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
scales,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
tidyverse,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
silgelib,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
blogdown,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
readr,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
tidymodels,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
doParallel,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
vip,content/blog/xgboost-tune-volleyball/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/xgboost-tune-volleyball/index.Rmarkdown
